AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|0.2|0.3|0.2|197|Mortality|82277037|Acute Lymphocytic|2013
0-14|0.2|0.2|0.2|127|Mortality|61085889|Acute Myeloid|2013
0-19|0.2|0.3|0.2|186|Mortality|82277037|Acute Myeloid|2013
0-14|2.0|2.2|2.1|1287|Mortality|61085889|All Cancer Sites Combined|2013
0-19|2.2|2.4|2.3|1914|Mortality|82277037|All Cancer Sites Combined|2013
0-14|0.1|0.1|0.1|72|Mortality|61085889|Bones and Joints|2013
0-19|0.2|0.3|0.2|180|Mortality|82277037|Bones and Joints|2013
0-14|0.7|0.8|0.7|437|Mortality|61085889|Brain and Other Nervous System|2013
0-19|0.6|0.7|0.7|556|Mortality|82277037|Brain and Other Nervous System|2013
0-14|~|~|~|~|Mortality|61085889|Hodgkin Lymphoma|2013
0-19|~|~|~|~|Mortality|82277037|Hodgkin Lymphoma|2013
0-14|0.0|0.1|0.1|40|Mortality|61085889|Kidney and Renal Pelvis|2013
0-19|0.0|0.1|0.1|46|Mortality|82277037|Kidney and Renal Pelvis|2013
0-14|0.5|0.6|0.6|350|Mortality|61085889|Leukemia|2013
0-19|0.6|0.7|0.6|509|Mortality|82277037|Leukemia|2013
0-14|0.0|0.1|0.0|29|Mortality|61085889|Non-Hodgkin Lymphoma|2013
0-19|0.1|0.1|0.1|60|Mortality|82277037|Non-Hodgkin Lymphoma|2013
0-14|0.4|0.5|0.4|254|Mortality|61085889|Other|2013
0-19|0.4|0.5|0.4|367|Mortality|82277037|Other|2013
0-14|0.1|0.2|0.2|101|Mortality|61085889|Soft Tissue|2013
0-19|0.2|0.3|0.2|183|Mortality|82277037|Soft Tissue|2013
0-14|3.6|3.9|3.7|2285|Incidence|61079313|Acute Lymphocytic|2014
0-19|3.1|3.3|3.2|2627|Incidence|82156139|Acute Lymphocytic|2014
0-14|0.6|0.8|0.7|436|Incidence|61079313|Acute Myeloid|2014
0-19|0.7|0.8|0.8|642|Incidence|82156139|Acute Myeloid|2014
0-14|16.6|17.3|17.0|10381|Incidence|61079313|All Cancer Sites Combined|2014
0-19|18.1|18.7|18.4|15190|Incidence|82156139|All Cancer Sites Combined|2014
0-14|0.8|0.9|0.8|500|Incidence|61079313|Bones and Joints|2014
0-19|0.9|1.0|1.0|787|Incidence|82156139|Bones and Joints|2014
0-14|3.4|3.7|3.5|2154|Incidence|61079313|Brain and Other Nervous System|2014
0-19|3.1|3.4|3.2|2653|Incidence|82156139|Brain and Other Nervous System|2014
0-14|0.5|0.6|0.5|329|Incidence|61079313|Hodgkin Lymphoma|2014
0-19|1.1|1.2|1.2|973|Incidence|82156139|Hodgkin Lymphoma|2014
0-14|0.8|1.0|0.9|562|Incidence|61079313|Kidney and Renal Pelvis|2014
0-19|0.7|0.8|0.7|608|Incidence|82156139|Kidney and Renal Pelvis|2014
0-14|4.6|5.0|4.8|2942|Incidence|61079313|Leukemia|2014
0-19|4.2|4.5|4.4|3599|Incidence|82156139|Leukemia|2014
0-14|1.0|1.2|1.1|686|Incidence|61079313|Non-Hodgkin Lymphoma|2014
0-19|1.3|1.4|1.4|1116|Incidence|82156139|Non-Hodgkin Lymphoma|2014
0-14|4.0|4.4|4.2|2567|Incidence|61079313|Other|2014
0-19|5.4|5.7|5.5|4585|Incidence|82156139|Other|2014
0-14|1.0|1.1|1.0|641|Incidence|61079313|Soft Tissue|2014
0-19|1.0|1.1|1.1|869|Incidence|82156139|Soft Tissue|2014
0-14|0.2|0.3|0.2|141|Mortality|61079313|Acute Lymphocytic|2014
0-19|0.2|0.3|0.3|207|Mortality|82156139|Acute Lymphocytic|2014
0-14|0.1|0.2|0.2|94|Mortality|61079313|Acute Myeloid|2014
0-19|0.2|0.2|0.2|148|Mortality|82156139|Acute Myeloid|2014
0-14|1.9|2.1|2.0|1225|Mortality|61079313|All Cancer Sites Combined|2014
0-19|2.1|2.3|2.2|1837|Mortality|82156139|All Cancer Sites Combined|2014
0-14|0.1|0.2|0.1|85|Mortality|61079313|Bones and Joints|2014
0-19|0.2|0.3|0.2|181|Mortality|82156139|Bones and Joints|2014
0-14|0.6|0.8|0.7|420|Mortality|61079313|Brain and Other Nervous System|2014
0-19|0.6|0.7|0.7|559|Mortality|82156139|Brain and Other Nervous System|2014
0-14|~|~|~|~|Mortality|61079313|Hodgkin Lymphoma|2014
0-19|~|~|~|~|Mortality|82156139|Hodgkin Lymphoma|2014
0-14|0.0|0.1|0.0|24|Mortality|61079313|Kidney and Renal Pelvis|2014
0-19|0.0|0.1|0.0|34|Mortality|82156139|Kidney and Renal Pelvis|2014
0-14|0.4|0.5|0.5|296|Mortality|61079313|Leukemia|2014
0-19|0.5|0.6|0.6|456|Mortality|82156139|Leukemia|2014
0-14|0.0|0.1|0.1|39|Mortality|61079313|Non-Hodgkin Lymphoma|2014
0-19|0.1|0.1|0.1|69|Mortality|82156139|Non-Hodgkin Lymphoma|2014
0-14|0.4|0.5|0.5|285|Mortality|61079313|Other|2014
0-19|0.4|0.5|0.5|389|Mortality|82156139|Other|2014
0-14|0.1|0.2|0.1|76|Mortality|61079313|Soft Tissue|2014
0-19|0.1|0.2|0.2|143|Mortality|82156139|Soft Tissue|2014
