AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0.1|0.3|0.2|17|Not classified by ICCC|78714159|0-19|All Races|Male and Female|2000|0.1|0.3|0.2
2.9|3.7|3.3|257|V Retinoblastoma|78714159|0-19|All Races|Male and Female|2000|2.9|3.7|3.3
6.3|7.5|6.9|538|VI Renal tumors|78714159|0-19|All Races|Male and Female|2000|6.3|7.4|6.8
5.8|7.0|6.4|499|VI(a) Nephroblastoma and other nonepithelial renal tumors|78714159|0-19|All Races|Male and Female|2000|5.8|6.9|6.3
0.3|0.6|0.5|37|VI(b) Renal carcinomas|78714159|0-19|All Races|Male and Female|2000|0.3|0.6|0.5
~|~|~|~|VI(c) Unspecified malignant renal tumors|78714159|0-19|All Races|Male and Female|2000|~|~|~
1.6|2.2|1.8|144|VII Hepatic tumors|78714159|0-19|All Races|Male and Female|2000|1.5|2.2|1.8
1.2|1.7|1.4|113|VII(a) Hepatoblastoma|78714159|0-19|All Races|Male and Female|2000|1.2|1.7|1.4
0.2|0.5|0.4|29|VII(b) Hepatic carcinomas|78714159|0-19|All Races|Male and Female|2000|0.2|0.5|0.4
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|78714159|0-19|All Races|Male and Female|2000|~|~|~
7.7|9.0|8.4|661|VIII Malignant bone tumors|78714159|0-19|All Races|Male and Female|2000|7.8|9.1|8.4
4.3|5.2|4.7|373|VIII(a) Osteosarcomas|78714159|0-19|All Races|Male and Female|2000|4.3|5.2|4.7
~|~|~|~|VIII(b) Chondrosarcomas|78714159|0-19|All Races|Male and Female|2000|~|~|~
2.7|3.4|3.0|239|VIII(c) Ewing tumor and related sarcomas of bone|78714159|0-19|All Races|Male and Female|2000|2.7|3.4|3.0
0.1|0.4|0.2|19|VIII(d) Other specified malignant bone tumors|78714159|0-19|All Races|Male and Female|2000|0.1|0.4|0.2
0.1|0.3|0.2|16|VIII(e) Unspecified malignant bone tumors|78714159|0-19|All Races|Male and Female|2000|0.1|0.3|0.2
10.0|11.5|10.7|843|X Germ cell, trophoblastic tumors & neoplasms of gonads|78714159|0-19|All Races|Male and Female|2000|10.0|11.5|10.7
1.4|2.0|1.6|130|X(a) Intracranial & intraspinal germ cell tumors|78714159|0-19|All Races|Male and Female|2000|1.4|2.0|1.7
1.1|1.7|1.4|109|X(b) Malignant extracranial & extragonadal germ cell tumors|78714159|0-19|All Races|Male and Female|2000|1.1|1.7|1.4
6.4|7.6|7.0|552|X(c) Malignant gonadal germ cell tumors|78714159|0-19|All Races|Male and Female|2000|6.4|7.6|7.0
0.3|0.6|0.4|34|X(d) Gonadal carcinomas|78714159|0-19|All Races|Male and Female|2000|0.3|0.6|0.4
0.1|0.4|0.2|18|X(e) Other and unspecified malignant gonadal tumors|78714159|0-19|All Races|Male and Female|2000|0.1|0.4|0.2
14.8|16.5|15.6|1230|XI Other malignant epithelial neoplasms and malignant melanomas|78714159|0-19|All Races|Male and Female|2000|14.8|16.5|15.6
0.2|0.5|0.3|25|XI(a) Adrenocortical carcinomas|78714159|0-19|All Races|Male and Female|2000|0.2|0.5|0.3
5.1|6.2|5.6|445|XI(b) Thyroid carcinomas|78714159|0-19|All Races|Male and Female|2000|5.1|6.2|5.7
0.4|0.7|0.5|40|XI(c) Nasopharyngeal carcinomas|78714159|0-19|All Races|Male and Female|2000|0.4|0.7|0.5
4.7|5.7|5.2|410|XI(d) Malignant melanomas|78714159|0-19|All Races|Male and Female|2000|4.7|5.7|5.2
~|~|~|~|XI(e) Skin carcinomas|78714159|0-19|All Races|Male and Female|2000|~|~|~
3.4|4.3|3.9|304|XI(f) Other and unspecified carcinomas|78714159|0-19|All Races|Male and Female|2000|3.4|4.3|3.9
0.6|1.1|0.8|65|XII Other and unspecified malignant neoplasms|78714159|0-19|All Races|Male and Female|2000|0.6|1.1|0.8
~|~|~|~|XII(a) Other specified malignant tumors|78714159|0-19|All Races|Male and Female|2000|~|~|~
0.5|0.8|0.6|50|XII(b) Other unspecified malignant tumors|78714159|0-19|All Races|Male and Female|2000|0.5|0.8|0.6
167.5|173.2|170.3|13630|All ICCC Groups Combined|80042731|0-19|All Races|Male and Female|2001|167.4|173.2|170.3
44.1|47.1|45.6|3631|I Leukemias, myeloproliferative & myelodysplastic diseases|80042731|0-19|All Races|Male and Female|2001|43.9|46.9|45.4
31.6|34.1|32.9|2609|I(a) Lymphoid leukemias|80042731|0-19|All Races|Male and Female|2001|31.4|33.9|32.6
7.1|8.4|7.7|620|I(b) Acute myeloid leukemias|80042731|0-19|All Races|Male and Female|2001|7.1|8.4|7.7
1.9|2.6|2.2|180|I(c) Chronic myeloproliferative diseases|80042731|0-19|All Races|Male and Female|2001|1.9|2.6|2.2
1.2|1.8|1.5|118|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|80042731|0-19|All Races|Male and Female|2001|1.2|1.8|1.5
1.1|1.6|1.3|104|I(e) Unspecified and other specified leukemias|80042731|0-19|All Races|Male and Female|2001|1.1|1.6|1.3
23.6|25.7|24.6|1980|II Lymphomas and reticuloendothelial neoplasms|80042731|0-19|All Races|Male and Female|2001|23.7|25.9|24.7
11.7|13.3|12.5|1003|II(a) Hodgkin lymphomas|80042731|0-19|All Races|Male and Female|2001|11.8|13.3|12.5
8.1|9.4|8.7|698|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|80042731|0-19|All Races|Male and Female|2001|8.1|9.4|8.7
1.9|2.5|2.2|174|II(c) Burkitt lymphoma|80042731|0-19|All Races|Male and Female|2001|1.9|2.5|2.2
0.6|1.0|0.8|65|II(d) Miscellaneous lymphoreticular neoplasms|80042731|0-19|All Races|Male and Female|2001|0.6|1.0|0.8
0.4|0.7|0.5|40|II(e) Unspecified lymphomas|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
28.8|31.2|30.0|2394|III CNS and misc intracranial and intraspinal neoplasms|80042731|0-19|All Races|Male and Female|2001|28.7|31.1|29.9
2.1|2.8|2.4|194|III(a) Ependymomas and choroid plexus tumor|80042731|0-19|All Races|Male and Female|2001|2.1|2.8|2.4
14.2|15.9|15.0|1200|III(b) Astrocytomas|80042731|0-19|All Races|Male and Female|2001|14.2|15.9|15.0
6.0|7.1|6.6|523|III(c) Intracranial and intraspinal embryonal tumors|80042731|0-19|All Races|Male and Female|2001|6.0|7.1|6.5
4.5|5.5|5.0|399|III(d) Other gliomas|80042731|0-19|All Races|Male and Female|2001|4.5|5.5|5.0
0.5|0.8|0.6|49|III(e) Other specified intracranial & intraspinal neoplasms|80042731|0-19|All Races|Male and Female|2001|0.5|0.8|0.6
0.2|0.5|0.4|29|III(f) Unspecified intracranial and intraspinal neoplasms|80042731|0-19|All Races|Male and Female|2001|0.2|0.5|0.4
8.2|9.5|8.9|708|IV Neuroblastoma and other peripheral nervous cell tumors|80042731|0-19|All Races|Male and Female|2001|8.2|9.5|8.8
8.0|9.3|8.7|693|IV(a) Neuroblastoma and ganglioneuroblastoma|80042731|0-19|All Races|Male and Female|2001|8.0|9.3|8.7
~|~|~|~|IV(b) Other peripheral nervous cell tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
11.2|12.7|11.9|954|IX Soft tissue and other extraosseous sarcomas|80042731|0-19|All Races|Male and Female|2001|11.2|12.7|11.9
4.6|5.6|5.0|401|IX(a) Rhabdomyosarcomas|80042731|0-19|All Races|Male and Female|2001|4.5|5.5|5.0
1.2|1.7|1.4|115|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|80042731|0-19|All Races|Male and Female|2001|1.2|1.7|1.4
~|~|~|~|IX(c) Kaposi sarcoma|80042731|0-19|All Races|Male and Female|2001|~|~|~
3.7|4.6|4.1|332|IX(d) Other specified soft tissue sarcomas|80042731|0-19|All Races|Male and Female|2001|3.7|4.6|4.1
1.0|1.5|1.3|103|IX(e) Unspecified soft tissue sarcomas|80042731|0-19|All Races|Male and Female|2001|1.1|1.6|1.3
0.2|0.4|0.3|22|Not classified by ICCC|80042731|0-19|All Races|Male and Female|2001|0.2|0.4|0.3
2.9|3.7|3.3|266|V Retinoblastoma|80042731|0-19|All Races|Male and Female|2001|2.9|3.7|3.3
6.3|7.4|6.8|542|VI Renal tumors|80042731|0-19|All Races|Male and Female|2001|6.2|7.4|6.8
5.7|6.8|6.2|494|VI(a) Nephroblastoma and other nonepithelial renal tumors|80042731|0-19|All Races|Male and Female|2001|5.6|6.7|6.2
0.4|0.7|0.6|45|VI(b) Renal carcinomas|80042731|0-19|All Races|Male and Female|2001|0.4|0.8|0.6
~|~|~|~|VI(c) Unspecified malignant renal tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
1.5|2.1|1.8|145|VII Hepatic tumors|80042731|0-19|All Races|Male and Female|2001|1.5|2.1|1.8
1.0|1.5|1.3|101|VII(a) Hepatoblastoma|80042731|0-19|All Races|Male and Female|2001|1.0|1.5|1.3
0.4|0.7|0.5|43|VII(b) Hepatic carcinomas|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
8.8|10.1|9.4|760|VIII Malignant bone tumors|80042731|0-19|All Races|Male and Female|2001|8.8|10.2|9.5
4.7|5.7|5.2|419|VIII(a) Osteosarcomas|80042731|0-19|All Races|Male and Female|2001|4.7|5.8|5.2
0.2|0.5|0.4|29|VIII(b) Chondrosarcomas|80042731|0-19|All Races|Male and Female|2001|0.2|0.5|0.4
2.9|3.7|3.3|266|VIII(c) Ewing tumor and related sarcomas of bone|80042731|0-19|All Races|Male and Female|2001|2.9|3.7|3.3
0.3|0.6|0.4|35|VIII(d) Other specified malignant bone tumors|80042731|0-19|All Races|Male and Female|2001|0.3|0.6|0.4
~|~|~|~|VIII(e) Unspecified malignant bone tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
9.7|11.1|10.3|834|X Germ cell, trophoblastic tumors & neoplasms of gonads|80042731|0-19|All Races|Male and Female|2001|9.7|11.2|10.4
1.3|1.9|1.6|128|X(a) Intracranial & intraspinal germ cell tumors|80042731|0-19|All Races|Male and Female|2001|1.3|1.9|1.6
1.3|1.9|1.6|127|X(b) Malignant extracranial & extragonadal germ cell tumors|80042731|0-19|All Races|Male and Female|2001|1.3|1.9|1.6
6.0|7.2|6.6|530|X(c) Malignant gonadal germ cell tumors|80042731|0-19|All Races|Male and Female|2001|6.1|7.2|6.6
0.2|0.5|0.3|26|X(d) Gonadal carcinomas|80042731|0-19|All Races|Male and Female|2001|0.2|0.5|0.3
0.2|0.4|0.3|23|X(e) Other and unspecified malignant gonadal tumors|80042731|0-19|All Races|Male and Female|2001|0.2|0.4|0.3
15.6|17.3|16.4|1324|XI Other malignant epithelial neoplasms and malignant melanomas|80042731|0-19|All Races|Male and Female|2001|15.7|17.5|16.5
0.1|0.4|0.2|18|XI(a) Adrenocortical carcinomas|80042731|0-19|All Races|Male and Female|2001|0.1|0.4|0.2
5.3|6.3|5.8|467|XI(b) Thyroid carcinomas|80042731|0-19|All Races|Male and Female|2001|5.3|6.4|5.8
0.4|0.7|0.5|44|XI(c) Nasopharyngeal carcinomas|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
5.3|6.3|5.8|465|XI(d) Malignant melanomas|80042731|0-19|All Races|Male and Female|2001|5.3|6.4|5.8
~|~|~|~|XI(e) Skin carcinomas|80042731|0-19|All Races|Male and Female|2001|~|~|~
3.6|4.5|4.0|325|XI(f) Other and unspecified carcinomas|80042731|0-19|All Races|Male and Female|2001|3.6|4.5|4.1
0.7|1.1|0.9|70|XII Other and unspecified malignant neoplasms|80042731|0-19|All Races|Male and Female|2001|0.7|1.1|0.9
0.3|0.5|0.4|30|XII(a) Other specified malignant tumors|80042731|0-19|All Races|Male and Female|2001|0.3|0.5|0.4
0.4|0.7|0.5|40|XII(b) Other unspecified malignant tumors|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
167.5|173.3|170.4|13672|All ICCC Groups Combined|80182530|0-19|All Races|Male and Female|2002|167.7|173.4|170.5
43.3|46.2|44.7|3570|I Leukemias, myeloproliferative & myelodysplastic diseases|80182530|0-19|All Races|Male and Female|2002|43.1|46.0|44.5
30.6|33.1|31.8|2535|I(a) Lymphoid leukemias|80182530|0-19|All Races|Male and Female|2002|30.4|32.9|31.6
7.5|8.8|8.1|655|I(b) Acute myeloid leukemias|80182530|0-19|All Races|Male and Female|2002|7.6|8.8|8.2
1.7|2.4|2.0|165|I(c) Chronic myeloproliferative diseases|80182530|0-19|All Races|Male and Female|2002|1.8|2.4|2.1
1.2|1.8|1.5|119|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|80182530|0-19|All Races|Male and Female|2002|1.2|1.8|1.5
1.0|1.5|1.2|96|I(e) Unspecified and other specified leukemias|80182530|0-19|All Races|Male and Female|2002|1.0|1.5|1.2
23.4|25.5|24.4|1972|II Lymphomas and reticuloendothelial neoplasms|80182530|0-19|All Races|Male and Female|2002|23.5|25.7|24.6
11.5|13.1|12.3|997|II(a) Hodgkin lymphomas|80182530|0-19|All Races|Male and Female|2002|11.7|13.2|12.4
7.6|8.8|8.2|660|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|80182530|0-19|All Races|Male and Female|2002|7.6|8.9|8.2
2.4|3.1|2.7|219|II(c) Burkitt lymphoma|80182530|0-19|All Races|Male and Female|2002|2.4|3.1|2.7
0.7|1.1|0.9|69|II(d) Miscellaneous lymphoreticular neoplasms|80182530|0-19|All Races|Male and Female|2002|0.7|1.1|0.9
0.2|0.5|0.3|27|II(e) Unspecified lymphomas|80182530|0-19|All Races|Male and Female|2002|0.2|0.5|0.3
30.1|32.6|31.3|2502|III CNS and misc intracranial and intraspinal neoplasms|80182530|0-19|All Races|Male and Female|2002|30.0|32.5|31.2
2.6|3.4|3.0|236|III(a) Ependymomas and choroid plexus tumor|80182530|0-19|All Races|Male and Female|2002|2.6|3.3|2.9
14.5|16.2|15.3|1225|III(b) Astrocytomas|80182530|0-19|All Races|Male and Female|2002|14.4|16.2|15.3
5.8|6.9|6.4|507|III(c) Intracranial and intraspinal embryonal tumors|80182530|0-19|All Races|Male and Female|2002|5.8|6.9|6.3
5.0|6.1|5.6|443|III(d) Other gliomas|80182530|0-19|All Races|Male and Female|2002|5.0|6.1|5.5
0.5|0.9|0.7|58|III(e) Other specified intracranial & intraspinal neoplasms|80182530|0-19|All Races|Male and Female|2002|0.5|0.9|0.7
0.3|0.6|0.4|33|III(f) Unspecified intracranial and intraspinal neoplasms|80182530|0-19|All Races|Male and Female|2002|0.3|0.6|0.4
7.8|9.1|8.5|675|IV Neuroblastoma and other peripheral nervous cell tumors|80182530|0-19|All Races|Male and Female|2002|7.8|9.1|8.4
7.6|8.9|8.2|656|IV(a) Neuroblastoma and ganglioneuroblastoma|80182530|0-19|All Races|Male and Female|2002|7.6|8.8|8.2
0.1|0.4|0.2|19|IV(b) Other peripheral nervous cell tumors|80182530|0-19|All Races|Male and Female|2002|0.1|0.4|0.2
11.1|12.6|11.8|949|IX Soft tissue and other extraosseous sarcomas|80182530|0-19|All Races|Male and Female|2002|11.1|12.6|11.8
4.4|5.4|4.9|389|IX(a) Rhabdomyosarcomas|80182530|0-19|All Races|Male and Female|2002|4.4|5.4|4.9
0.9|1.4|1.2|94|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|80182530|0-19|All Races|Male and Female|2002|0.9|1.4|1.2
~|~|~|~|IX(c) Kaposi sarcoma|80182530|0-19|All Races|Male and Female|2002|~|~|~
4.3|5.3|4.8|387|IX(d) Other specified soft tissue sarcomas|80182530|0-19|All Races|Male and Female|2002|4.4|5.3|4.8
0.8|1.2|1.0|79|IX(e) Unspecified soft tissue sarcomas|80182530|0-19|All Races|Male and Female|2002|0.8|1.2|1.0
0.2|0.5|0.3|25|Not classified by ICCC|80182530|0-19|All Races|Male and Female|2002|0.2|0.5|0.3
2.4|3.2|2.8|224|V Retinoblastoma|80182530|0-19|All Races|Male and Female|2002|2.4|3.2|2.8
6.0|7.1|6.5|518|VI Renal tumors|80182530|0-19|All Races|Male and Female|2002|5.9|7.0|6.5
5.5|6.6|6.1|481|VI(a) Nephroblastoma and other nonepithelial renal tumors|80182530|0-19|All Races|Male and Female|2002|5.5|6.6|6.0
0.3|0.6|0.4|36|VI(b) Renal carcinomas|80182530|0-19|All Races|Male and Female|2002|0.3|0.6|0.4
~|~|~|~|VI(c) Unspecified malignant renal tumors|80182530|0-19|All Races|Male and Female|2002|~|~|~
1.4|2.0|1.7|136|VII Hepatic tumors|80182530|0-19|All Races|Male and Female|2002|1.4|2.0|1.7
0.9|1.4|1.2|93|VII(a) Hepatoblastoma|80182530|0-19|All Races|Male and Female|2002|0.9|1.4|1.2
0.4|0.7|0.5|42|VII(b) Hepatic carcinomas|80182530|0-19|All Races|Male and Female|2002|0.4|0.7|0.5
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|80182530|0-19|All Races|Male and Female|2002|~|~|~
8.5|9.8|9.1|738|VIII Malignant bone tumors|80182530|0-19|All Races|Male and Female|2002|8.6|9.9|9.2
4.4|5.4|4.9|397|VIII(a) Osteosarcomas|80182530|0-19|All Races|Male and Female|2002|4.5|5.5|5.0
0.3|0.6|0.5|38|VIII(b) Chondrosarcomas|80182530|0-19|All Races|Male and Female|2002|0.3|0.7|0.5
2.7|3.5|3.1|250|VIII(c) Ewing tumor and related sarcomas of bone|80182530|0-19|All Races|Male and Female|2002|2.7|3.5|3.1
0.4|0.7|0.5|40|VIII(d) Other specified malignant bone tumors|80182530|0-19|All Races|Male and Female|2002|0.4|0.7|0.5
~|~|~|~|VIII(e) Unspecified malignant bone tumors|80182530|0-19|All Races|Male and Female|2002|~|~|~
10.3|11.8|11.0|890|X Germ cell, trophoblastic tumors & neoplasms of gonads|80182530|0-19|All Races|Male and Female|2002|10.4|11.9|11.1
1.4|1.9|1.6|132|X(a) Intracranial & intraspinal germ cell tumors|80182530|0-19|All Races|Male and Female|2002|1.4|2.0|1.6
1.3|1.8|1.5|125|X(b) Malignant extracranial & extragonadal germ cell tumors|80182530|0-19|All Races|Male and Female|2002|1.3|1.9|1.6
6.6|7.8|7.2|580|X(c) Malignant gonadal germ cell tumors|80182530|0-19|All Races|Male and Female|2002|6.7|7.8|7.2
0.2|0.5|0.4|29|X(d) Gonadal carcinomas|80182530|0-19|All Races|Male and Female|2002|0.2|0.5|0.4
0.2|0.4|0.3|24|X(e) Other and unspecified malignant gonadal tumors|80182530|0-19|All Races|Male and Female|2002|0.2|0.4|0.3
16.4|18.2|17.3|1400|XI Other malignant epithelial neoplasms and malignant melanomas|80182530|0-19|All Races|Male and Female|2002|16.6|18.4|17.5
0.1|0.4|0.2|19|XI(a) Adrenocortical carcinomas|80182530|0-19|All Races|Male and Female|2002|0.1|0.4|0.2
5.3|6.4|5.8|471|XI(b) Thyroid carcinomas|80182530|0-19|All Races|Male and Female|2002|5.4|6.4|5.9
0.4|0.8|0.6|49|XI(c) Nasopharyngeal carcinomas|80182530|0-19|All Races|Male and Female|2002|0.5|0.8|0.6
6.0|7.1|6.5|526|XI(d) Malignant melanomas|80182530|0-19|All Races|Male and Female|2002|6.0|7.1|6.6
~|~|~|~|XI(e) Skin carcinomas|80182530|0-19|All Races|Male and Female|2002|~|~|~
3.6|4.5|4.0|327|XI(f) Other and unspecified carcinomas|80182530|0-19|All Races|Male and Female|2002|3.6|4.5|4.1
0.7|1.1|0.9|73|XII Other and unspecified malignant neoplasms|80182530|0-19|All Races|Male and Female|2002|0.7|1.1|0.9
0.3|0.6|0.5|37|XII(a) Other specified malignant tumors|80182530|0-19|All Races|Male and Female|2002|0.3|0.6|0.5
0.3|0.6|0.4|36|XII(b) Other unspecified malignant tumors|80182530|0-19|All Races|Male and Female|2002|0.3|0.6|0.4
164.6|170.2|167.4|13668|All ICCC Groups Combined|81425816|0-19|All Races|Male and Female|2003|165.1|170.7|167.9
41.9|44.8|43.3|3514|I Leukemias, myeloproliferative & myelodysplastic diseases|81425816|0-19|All Races|Male and Female|2003|41.7|44.6|43.2
29.5|31.9|30.7|2476|I(a) Lymphoid leukemias|81425816|0-19|All Races|Male and Female|2003|29.2|31.6|30.4
7.2|8.4|7.8|638|I(b) Acute myeloid leukemias|81425816|0-19|All Races|Male and Female|2003|7.2|8.5|7.8
1.9|2.6|2.2|184|I(c) Chronic myeloproliferative diseases|81425816|0-19|All Races|Male and Female|2003|1.9|2.6|2.3
1.4|1.9|1.6|134|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|81425816|0-19|All Races|Male and Female|2003|1.4|1.9|1.6
0.8|1.2|1.0|82|I(e) Unspecified and other specified leukemias|81425816|0-19|All Races|Male and Female|2003|0.8|1.3|1.0
23.2|25.3|24.2|1986|II Lymphomas and reticuloendothelial neoplasms|81425816|0-19|All Races|Male and Female|2003|23.3|25.5|24.4
11.7|13.2|12.4|1026|II(a) Hodgkin lymphomas|81425816|0-19|All Races|Male and Female|2003|11.8|13.4|12.6
7.5|8.7|8.1|660|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|81425816|0-19|All Races|Male and Female|2003|7.5|8.7|8.1
2.3|3.0|2.6|211|II(c) Burkitt lymphoma|81425816|0-19|All Races|Male and Female|2003|2.3|3.0|2.6
0.7|1.1|0.9|72|II(d) Miscellaneous lymphoreticular neoplasms|81425816|0-19|All Races|Male and Female|2003|0.7|1.1|0.9
0.1|0.3|0.2|17|II(e) Unspecified lymphomas|81425816|0-19|All Races|Male and Female|2003|0.1|0.3|0.2
28.9|31.3|30.1|2442|III CNS and misc intracranial and intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003|28.8|31.2|30.0
2.0|2.7|2.3|189|III(a) Ependymomas and choroid plexus tumor|81425816|0-19|All Races|Male and Female|2003|2.0|2.7|2.3
14.4|16.1|15.3|1241|III(b) Astrocytomas|81425816|0-19|All Races|Male and Female|2003|14.4|16.1|15.2
5.6|6.7|6.1|493|III(c) Intracranial and intraspinal embryonal tumors|81425816|0-19|All Races|Male and Female|2003|5.5|6.6|6.1
4.7|5.7|5.2|422|III(d) Other gliomas|81425816|0-19|All Races|Male and Female|2003|4.7|5.7|5.2
0.7|1.1|0.8|68|III(e) Other specified intracranial & intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003|0.6|1.1|0.8
0.2|0.5|0.4|29|III(f) Unspecified intracranial and intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003|0.2|0.5|0.4
7.6|8.9|8.2|669|IV Neuroblastoma and other peripheral nervous cell tumors|81425816|0-19|All Races|Male and Female|2003|7.6|8.9|8.2
7.4|8.7|8.0|654|IV(a) Neuroblastoma and ganglioneuroblastoma|81425816|0-19|All Races|Male and Female|2003|7.4|8.7|8.0
~|~|~|~|IV(b) Other peripheral nervous cell tumors|81425816|0-19|All Races|Male and Female|2003|~|~|~
11.4|12.9|12.1|993|IX Soft tissue and other extraosseous sarcomas|81425816|0-19|All Races|Male and Female|2003|11.4|13.0|12.2
4.3|5.3|4.8|390|IX(a) Rhabdomyosarcomas|81425816|0-19|All Races|Male and Female|2003|4.3|5.3|4.8
1.2|1.7|1.4|116|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|81425816|0-19|All Races|Male and Female|2003|1.2|1.7|1.4
~|~|~|~|IX(c) Kaposi sarcoma|81425816|0-19|All Races|Male and Female|2003|~|~|~
4.2|5.1|4.6|382|IX(d) Other specified soft tissue sarcomas|81425816|0-19|All Races|Male and Female|2003|4.2|5.2|4.7
1.0|1.5|1.2|102|IX(e) Unspecified soft tissue sarcomas|81425816|0-19|All Races|Male and Female|2003|1.0|1.5|1.3
0.2|0.4|0.3|22|Not classified by ICCC|81425816|0-19|All Races|Male and Female|2003|0.2|0.4|0.3
2.7|3.5|3.1|251|V Retinoblastoma|81425816|0-19|All Races|Male and Female|2003|2.7|3.5|3.1
6.2|7.3|6.7|543|VI Renal tumors|81425816|0-19|All Races|Male and Female|2003|6.1|7.3|6.7
5.6|6.7|6.1|494|VI(a) Nephroblastoma and other nonepithelial renal tumors|81425816|0-19|All Races|Male and Female|2003|5.5|6.6|6.1
0.4|0.7|0.5|45|VI(b) Renal carcinomas|81425816|0-19|All Races|Male and Female|2003|0.4|0.7|0.6
~|~|~|~|VI(c) Unspecified malignant renal tumors|81425816|0-19|All Races|Male and Female|2003|~|~|~
1.8|2.5|2.1|174|VII Hepatic tumors|81425816|0-19|All Races|Male and Female|2003|1.8|2.5|2.1
1.3|1.8|1.5|124|VII(a) Hepatoblastoma|81425816|0-19|All Races|Male and Female|2003|1.3|1.8|1.5
0.5|0.8|0.6|50|VII(b) Hepatic carcinomas|81425816|0-19|All Races|Male and Female|2003|0.5|0.8|0.6
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|81425816|0-19|All Races|Male and Female|2003|~|~|~
8.0|9.3|8.7|714|VIII Malignant bone tumors|81425816|0-19|All Races|Male and Female|2003|8.1|9.4|8.8
4.8|5.8|5.3|436|VIII(a) Osteosarcomas|81425816|0-19|All Races|Male and Female|2003|4.9|5.9|5.4
0.2|0.4|0.3|21|VIII(b) Chondrosarcomas|81425816|0-19|All Races|Male and Female|2003|0.2|0.4|0.3
2.2|2.9|2.6|212|VIII(c) Ewing tumor and related sarcomas of bone|81425816|0-19|All Races|Male and Female|2003|2.3|3.0|2.6
0.2|0.5|0.3|28|VIII(d) Other specified malignant bone tumors|81425816|0-19|All Races|Male and Female|2003|0.2|0.5|0.3
0.1|0.3|0.2|17|VIII(e) Unspecified malignant bone tumors|81425816|0-19|All Races|Male and Female|2003|0.1|0.3|0.2
9.6|11.0|10.3|847|X Germ cell, trophoblastic tumors & neoplasms of gonads|81425816|0-19|All Races|Male and Female|2003|9.7|11.1|10.4
1.1|1.6|1.4|113|X(a) Intracranial & intraspinal germ cell tumors|81425816|0-19|All Races|Male and Female|2003|1.1|1.7|1.4
1.2|1.7|1.4|118|X(b) Malignant extracranial & extragonadal germ cell tumors|81425816|0-19|All Races|Male and Female|2003|1.2|1.7|1.4
6.2|7.3|6.7|554|X(c) Malignant gonadal germ cell tumors|81425816|0-19|All Races|Male and Female|2003|6.2|7.4|6.8
0.2|0.5|0.4|30|X(d) Gonadal carcinomas|81425816|0-19|All Races|Male and Female|2003|0.2|0.5|0.4
0.3|0.5|0.4|32|X(e) Other and unspecified malignant gonadal tumors|81425816|0-19|All Races|Male and Female|2003|0.3|0.6|0.4
16.3|18.1|17.2|1425|XI Other malignant epithelial neoplasms and malignant melanomas|81425816|0-19|All Races|Male and Female|2003|16.6|18.4|17.5
0.1|0.4|0.2|20|XI(a) Adrenocortical carcinomas|81425816|0-19|All Races|Male and Female|2003|0.2|0.4|0.2
5.6|6.7|6.1|507|XI(b) Thyroid carcinomas|81425816|0-19|All Races|Male and Female|2003|5.7|6.8|6.2
0.5|0.9|0.7|54|XI(c) Nasopharyngeal carcinomas|81425816|0-19|All Races|Male and Female|2003|0.5|0.9|0.7
5.4|6.4|5.9|487|XI(d) Malignant melanomas|81425816|0-19|All Races|Male and Female|2003|5.5|6.5|6.0
~|~|~|~|XI(e) Skin carcinomas|81425816|0-19|All Races|Male and Female|2003|~|~|~
3.8|4.7|4.2|348|XI(f) Other and unspecified carcinomas|81425816|0-19|All Races|Male and Female|2003|3.8|4.7|4.3
0.9|1.3|1.1|88|XII Other and unspecified malignant neoplasms|81425816|0-19|All Races|Male and Female|2003|0.9|1.3|1.1
