AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
10-14|30.9|36.0|33.4|691|I Leukemias, myeloproliferative & myelodysplastic diseases|20706655|2008
15-19|30.8|35.7|33.2|737|I Leukemias, myeloproliferative & myelodysplastic diseases|22210880|2008
5-9|40.1|45.9|43.0|856|I Leukemias, myeloproliferative & myelodysplastic diseases|19929602|2008
<1|48.9|63.6|55.9|231|I Leukemias, myeloproliferative & myelodysplastic diseases|4132735|2008
1-4|74.7|83.4|78.9|1274|I(a) Lymphoid leukemias|16138392|2008
10-14|19.9|23.9|21.8|452|I(a) Lymphoid leukemias|20706655|2008
15-19|15.5|19.0|17.2|382|I(a) Lymphoid leukemias|22210880|2008
5-9|32.9|38.2|35.5|707|I(a) Lymphoid leukemias|19929602|2008
<1|16.4|25.4|20.6|85|I(a) Lymphoid leukemias|4132735|2008
1-4|9.4|12.7|11.0|177|I(b) Acute myeloid leukemias|16138392|2008
10-14|5.7|8.0|6.8|141|I(b) Acute myeloid leukemias|20706655|2008
15-19|8.1|10.6|9.3|206|I(b) Acute myeloid leukemias|22210880|2008
5-9|3.8|5.8|4.7|94|I(b) Acute myeloid leukemias|19929602|2008
<1|14.9|23.6|18.9|78|I(b) Acute myeloid leukemias|4132735|2008
1-4|1.2|2.5|1.7|28|I(c) Chronic myeloproliferative diseases|16138392|2008
10-14|1.7|3.1|2.3|48|I(c) Chronic myeloproliferative diseases|20706655|2008
15-19|3.5|5.3|4.3|96|I(c) Chronic myeloproliferative diseases|22210880|2008
5-9|0.7|1.6|1.1|21|I(c) Chronic myeloproliferative diseases|19929602|2008
<1|5.7|11.5|8.2|34|I(c) Chronic myeloproliferative diseases|4132735|2008
1-4|1.3|2.7|1.9|31|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|16138392|2008
10-14|0.9|2.0|1.4|28|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20706655|2008
15-19|0.8|1.8|1.3|28|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|22210880|2008
5-9|0.7|1.6|1.1|21|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19929602|2008
<1|3.7|8.6|5.8|24|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|4132735|2008
1-4|0.9|2.1|1.4|22|I(e) Unspecified and other specified leukemias|16138392|2008
10-14|0.7|1.6|1.1|22|I(e) Unspecified and other specified leukemias|20706655|2008
15-19|0.7|1.7|1.1|25|I(e) Unspecified and other specified leukemias|22210880|2008
5-9|~|~|~|~|I(e) Unspecified and other specified leukemias|19929602|2008
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|4132735|2008
1-4|8.2|11.2|9.6|155|II Lymphomas and reticuloendothelial neoplasms|16138392|2008
10-14|23.4|27.8|25.5|529|II Lymphomas and reticuloendothelial neoplasms|20706655|2008
15-19|47.3|53.2|50.2|1115|II Lymphomas and reticuloendothelial neoplasms|22210880|2008
5-9|13.9|17.4|15.6|310|II Lymphomas and reticuloendothelial neoplasms|19929602|2008
<1|7.9|14.6|10.9|45|II Lymphomas and reticuloendothelial neoplasms|4132735|2008
1-4|~|~|~|~|II(a) Hodgkin lymphomas|16138392|2008
10-14|11.8|14.9|13.3|275|II(a) Hodgkin lymphomas|20706655|2008
15-19|30.2|35.0|32.5|722|II(a) Hodgkin lymphomas|22210880|2008
5-9|3.6|5.6|4.5|90|II(a) Hodgkin lymphomas|19929602|2008
<1|~|~|~|~|II(a) Hodgkin lymphomas|4132735|2008
1-4|3.5|5.6|4.5|72|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|16138392|2008
10-14|7.5|10.1|8.7|180|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20706655|2008
15-19|13.3|16.5|14.8|329|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|22210880|2008
5-9|5.9|8.2|7.0|139|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19929602|2008
<1|2.2|6.3|3.9|16|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|4132735|2008
1-4|1.7|3.2|2.4|38|II(c) Burkitt lymphoma|16138392|2008
10-14|2.2|3.7|2.9|60|II(c) Burkitt lymphoma|20706655|2008
15-19|1.6|2.9|2.2|48|II(c) Burkitt lymphoma|22210880|2008
5-9|2.5|4.2|3.3|65|II(c) Burkitt lymphoma|19929602|2008
<1|~|~|~|~|II(c) Burkitt lymphoma|4132735|2008
1-4|1.1|2.4|1.7|27|II(d) Miscellaneous lymphoreticular neoplasms|16138392|2008
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20706655|2008
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|22210880|2008
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19929602|2008
<1|4.3|9.5|6.5|27|II(d) Miscellaneous lymphoreticular neoplasms|4132735|2008
1-4|~|~|~|~|II(e) Unspecified lymphomas|16138392|2008
10-14|~|~|~|~|II(e) Unspecified lymphomas|20706655|2008
15-19|~|~|~|~|II(e) Unspecified lymphomas|22210880|2008
5-9|~|~|~|~|II(e) Unspecified lymphomas|19929602|2008
<1|~|~|~|~|II(e) Unspecified lymphomas|4132735|2008
1-4|42.7|49.4|46.0|742|III CNS and misc intracranial and intraspinal neoplasms|16138392|2008
10-14|24.3|28.8|26.5|548|III CNS and misc intracranial and intraspinal neoplasms|20706655|2008
15-19|20.9|24.9|22.8|507|III CNS and misc intracranial and intraspinal neoplasms|22210880|2008
5-9|32.9|38.2|35.5|707|III CNS and misc intracranial and intraspinal neoplasms|19929602|2008
<1|32.1|44.2|37.7|156|III CNS and misc intracranial and intraspinal neoplasms|4132735|2008
1-4|3.5|5.6|4.5|72|III(a) Ependymomas and choroid plexus tumor|16138392|2008
10-14|1.1|2.2|1.6|33|III(a) Ependymomas and choroid plexus tumor|20706655|2008
15-19|1.0|2.1|1.5|33|III(a) Ependymomas and choroid plexus tumor|22210880|2008
5-9|1.5|2.8|2.1|42|III(a) Ependymomas and choroid plexus tumor|19929602|2008
<1|2.2|6.3|3.9|16|III(a) Ependymomas and choroid plexus tumor|4132735|2008
1-4|19.7|24.3|21.9|354|III(b) Astrocytomas|16138392|2008
10-14|12.8|16.1|14.4|298|III(b) Astrocytomas|20706655|2008
15-19|11.1|14.1|12.6|279|III(b) Astrocytomas|22210880|2008
5-9|16.0|19.8|17.8|355|III(b) Astrocytomas|19929602|2008
<1|9.6|16.8|12.8|53|III(b) Astrocytomas|4132735|2008
1-4|9.9|13.3|11.5|186|III(c) Intracranial and intraspinal embryonal tumors|16138392|2008
10-14|3.9|5.8|4.8|99|III(c) Intracranial and intraspinal embryonal tumors|20706655|2008
15-19|1.9|3.3|2.5|56|III(c) Intracranial and intraspinal embryonal tumors|22210880|2008
5-9|6.3|8.7|7.4|148|III(c) Intracranial and intraspinal embryonal tumors|19929602|2008
<1|13.0|21.1|16.7|69|III(c) Intracranial and intraspinal embryonal tumors|4132735|2008
1-4|5.6|8.2|6.8|110|III(d) Other gliomas|16138392|2008
10-14|3.9|5.9|4.8|100|III(d) Other gliomas|20706655|2008
15-19|4.2|6.1|5.1|113|III(d) Other gliomas|22210880|2008
5-9|6.0|8.3|7.1|141|III(d) Other gliomas|19929602|2008
<1|~|~|~|~|III(d) Other gliomas|4132735|2008
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|16138392|2008
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20706655|2008
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|22210880|2008
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19929602|2008
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|4132735|2008
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|16138392|2008
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20706655|2008
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|22210880|2008
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19929602|2008
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|4132735|2008
1-4|18.6|23.1|20.8|335|IV Neuroblastoma and other peripheral nervous cell tumors|16138392|2008
10-14|0.7|1.6|1.1|22|IV Neuroblastoma and other peripheral nervous cell tumors|20706655|2008
15-19|0.5|1.3|0.8|18|IV Neuroblastoma and other peripheral nervous cell tumors|22210880|2008
5-9|3.5|5.4|4.4|87|IV Neuroblastoma and other peripheral nervous cell tumors|19929602|2008
<1|51.6|66.7|58.8|243|IV Neuroblastoma and other peripheral nervous cell tumors|4132735|2008
1-4|18.2|22.7|20.4|329|IV(a) Neuroblastoma and ganglioneuroblastoma|16138392|2008
10-14|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|20706655|2008
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|22210880|2008
5-9|3.4|5.2|4.2|84|IV(a) Neuroblastoma and ganglioneuroblastoma|19929602|2008
<1|51.4|66.4|58.6|242|IV(a) Neuroblastoma and ganglioneuroblastoma|4132735|2008
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|16138392|2008
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20706655|2008
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|22210880|2008
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19929602|2008
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|4132735|2008
1-4|10.5|14.0|12.1|196|IX Soft tissue and other extraosseous sarcomas|16138392|2008
10-14|9.4|12.2|10.7|222|IX Soft tissue and other extraosseous sarcomas|20706655|2008
15-19|14.5|17.9|16.1|358|IX Soft tissue and other extraosseous sarcomas|22210880|2008
5-9|7.9|10.6|9.1|182|IX Soft tissue and other extraosseous sarcomas|19929602|2008
<1|14.3|22.7|18.1|75|IX Soft tissue and other extraosseous sarcomas|4132735|2008
1-4|6.7|9.6|8.1|130|IX(a) Rhabdomyosarcomas|16138392|2008
10-14|3.1|4.8|3.9|80|IX(a) Rhabdomyosarcomas|20706655|2008
15-19|3.6|5.4|4.5|99|IX(a) Rhabdomyosarcomas|22210880|2008
5-9|3.7|5.7|4.6|92|IX(a) Rhabdomyosarcomas|19929602|2008
<1|3.7|8.6|5.8|24|IX(a) Rhabdomyosarcomas|4132735|2008
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|16138392|2008
10-14|0.6|1.4|0.9|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20706655|2008
15-19|1.1|2.1|1.5|34|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|22210880|2008
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19929602|2008
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|4132735|2008
1-4|~|~|~|~|IX(c) Kaposi sarcoma|16138392|2008
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20706655|2008
15-19|~|~|~|~|IX(c) Kaposi sarcoma|22210880|2008
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19929602|2008
<1|~|~|~|~|IX(c) Kaposi sarcoma|4132735|2008
1-4|1.7|3.3|2.4|39|IX(d) Other specified soft tissue sarcomas|16138392|2008
10-14|3.6|5.4|4.4|92|IX(d) Other specified soft tissue sarcomas|20706655|2008
15-19|6.8|9.2|7.9|176|IX(d) Other specified soft tissue sarcomas|22210880|2008
5-9|2.2|3.7|2.9|57|IX(d) Other specified soft tissue sarcomas|19929602|2008
<1|3.1|7.8|5.1|21|IX(d) Other specified soft tissue sarcomas|4132735|2008
1-4|0.6|1.7|1.1|17|IX(e) Unspecified soft tissue sarcomas|16138392|2008
10-14|1.0|2.1|1.5|31|IX(e) Unspecified soft tissue sarcomas|20706655|2008
15-19|1.6|2.9|2.2|48|IX(e) Unspecified soft tissue sarcomas|22210880|2008
5-9|0.5|1.4|0.9|17|IX(e) Unspecified soft tissue sarcomas|19929602|2008
<1|2.2|6.3|3.9|16|IX(e) Unspecified soft tissue sarcomas|4132735|2008
1-4|~|~|~|~|Not classified by ICCC|16138392|2008
10-14|~|~|~|~|Not classified by ICCC|20706655|2008
15-19|~|~|~|~|Not classified by ICCC|22210880|2008
5-9|~|~|~|~|Not classified by ICCC|19929602|2008
<1|~|~|~|~|Not classified by ICCC|4132735|2008
1-4|7.2|10.1|8.6|138|V Retinoblastoma|16138392|2008
10-14|~|~|~|~|V Retinoblastoma|20706655|2008
15-19|~|~|~|~|V Retinoblastoma|22210880|2008
5-9|~|~|~|~|V Retinoblastoma|19929602|2008
<1|23.9|34.5|28.8|119|V Retinoblastoma|4132735|2008
1-4|19.2|23.8|21.4|345|VI Renal tumors|16138392|2008
10-14|0.7|1.7|1.1|23|VI Renal tumors|20706655|2008
15-19|1.4|2.7|2.0|44|VI Renal tumors|22210880|2008
5-9|4.9|7.0|5.9|117|VI Renal tumors|19929602|2008
<1|13.8|22.2|17.7|73|VI Renal tumors|4132735|2008
1-4|18.8|23.4|21.0|339|VI(a) Nephroblastoma and other nonepithelial renal tumors|16138392|2008
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20706655|2008
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|22210880|2008
5-9|4.4|6.4|5.3|106|VI(a) Nephroblastoma and other nonepithelial renal tumors|19929602|2008
<1|13.6|21.9|17.4|72|VI(a) Nephroblastoma and other nonepithelial renal tumors|4132735|2008
1-4|~|~|~|~|VI(b) Renal carcinomas|16138392|2008
10-14|~|~|~|~|VI(b) Renal carcinomas|20706655|2008
15-19|1.2|2.3|1.7|38|VI(b) Renal carcinomas|22210880|2008
5-9|~|~|~|~|VI(b) Renal carcinomas|19929602|2008
<1|~|~|~|~|VI(b) Renal carcinomas|4132735|2008
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|16138392|2008
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20706655|2008
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|22210880|2008
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19929602|2008
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|4132735|2008
1-4|4.3|6.6|5.4|87|VII Hepatic tumors|16138392|2008
10-14|~|~|~|~|VII Hepatic tumors|20706655|2008
15-19|0.8|1.7|1.2|26|VII Hepatic tumors|22210880|2008
5-9|0.5|1.3|0.8|16|VII Hepatic tumors|19929602|2008
<1|8.4|15.1|11.4|47|VII Hepatic tumors|4132735|2008
1-4|4.2|6.4|5.2|84|VII(a) Hepatoblastoma|16138392|2008
10-14|~|~|~|~|VII(a) Hepatoblastoma|20706655|2008
15-19|~|~|~|~|VII(a) Hepatoblastoma|22210880|2008
5-9|~|~|~|~|VII(a) Hepatoblastoma|19929602|2008
<1|8.1|14.8|11.1|46|VII(a) Hepatoblastoma|4132735|2008
1-4|~|~|~|~|VII(b) Hepatic carcinomas|16138392|2008
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20706655|2008
15-19|0.7|1.6|1.0|23|VII(b) Hepatic carcinomas|22210880|2008
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19929602|2008
<1|~|~|~|~|VII(b) Hepatic carcinomas|4132735|2008
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|16138392|2008
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20706655|2008
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|22210880|2008
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19929602|2008
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|4132735|2008
1-4|0.9|2.1|1.4|23|VIII Malignant bone tumors|16138392|2008
10-14|11.3|14.5|12.8|266|VIII Malignant bone tumors|20706655|2008
15-19|13.0|16.2|14.5|322|VIII Malignant bone tumors|22210880|2008
5-9|5.1|7.3|6.1|122|VIII Malignant bone tumors|19929602|2008
<1|~|~|~|~|VIII Malignant bone tumors|4132735|2008
1-4|~|~|~|~|VIII(a) Osteosarcomas|16138392|2008
10-14|6.4|8.8|7.5|156|VIII(a) Osteosarcomas|20706655|2008
15-19|7.0|9.5|8.2|182|VIII(a) Osteosarcomas|22210880|2008
5-9|2.7|4.4|3.5|70|VIII(a) Osteosarcomas|19929602|2008
<1|~|~|~|~|VIII(a) Osteosarcomas|4132735|2008
1-4|~|~|~|~|VIII(b) Chondrosarcomas|16138392|2008
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20706655|2008
15-19|0.7|1.6|1.1|24|VIII(b) Chondrosarcomas|22210880|2008
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19929602|2008
<1|~|~|~|~|VIII(b) Chondrosarcomas|4132735|2008
1-4|0.6|1.6|1.0|16|VIII(c) Ewing tumor and related sarcomas of bone|16138392|2008
10-14|3.4|5.2|4.2|87|VIII(c) Ewing tumor and related sarcomas of bone|20706655|2008
15-19|3.0|4.7|3.8|84|VIII(c) Ewing tumor and related sarcomas of bone|22210880|2008
5-9|1.6|3.0|2.3|45|VIII(c) Ewing tumor and related sarcomas of bone|19929602|2008
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|4132735|2008
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|16138392|2008
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20706655|2008
15-19|0.6|1.4|0.9|21|VIII(d) Other specified malignant bone tumors|22210880|2008
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19929602|2008
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|4132735|2008
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|16138392|2008
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20706655|2008
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|22210880|2008
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19929602|2008
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|4132735|2008
1-4|2.3|4.1|3.1|50|X Germ cell, trophoblastic tumors & neoplasms of gonads|16138392|2008
10-14|5.4|7.6|6.4|133|X Germ cell, trophoblastic tumors & neoplasms of gonads|20706655|2008
15-19|25.7|30.1|27.8|618|X Germ cell, trophoblastic tumors & neoplasms of gonads|22210880|2008
5-9|2.0|3.5|2.7|54|X Germ cell, trophoblastic tumors & neoplasms of gonads|19929602|2008
<1|16.6|25.7|20.8|86|X Germ cell, trophoblastic tumors & neoplasms of gonads|4132735|2008
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|16138392|2008
10-14|1.6|3.0|2.2|46|X(a) Intracranial & intraspinal germ cell tumors|20706655|2008
15-19|2.2|3.6|2.8|63|X(a) Intracranial & intraspinal germ cell tumors|22210880|2008
5-9|0.9|1.9|1.3|26|X(a) Intracranial & intraspinal germ cell tumors|19929602|2008
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|4132735|2008
1-4|0.8|2.0|1.3|21|X(b) Malignant extracranial & extragonadal germ cell tumors|16138392|2008
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20706655|2008
15-19|1.1|2.1|1.5|34|X(b) Malignant extracranial & extragonadal germ cell tumors|22210880|2008
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19929602|2008
<1|10.7|18.1|14.0|58|X(b) Malignant extracranial & extragonadal germ cell tumors|4132735|2008
1-4|1.1|2.4|1.6|26|X(c) Malignant gonadal germ cell tumors|16138392|2008
10-14|2.6|4.3|3.4|70|X(c) Malignant gonadal germ cell tumors|20706655|2008
15-19|20.1|24.1|22.0|489|X(c) Malignant gonadal germ cell tumors|22210880|2008
5-9|0.8|1.8|1.2|24|X(c) Malignant gonadal germ cell tumors|19929602|2008
<1|3.1|7.8|5.1|21|X(c) Malignant gonadal germ cell tumors|4132735|2008
1-4|~|~|~|~|X(d) Gonadal carcinomas|16138392|2008
10-14|~|~|~|~|X(d) Gonadal carcinomas|20706655|2008
15-19|0.6|1.5|1.0|22|X(d) Gonadal carcinomas|22210880|2008
5-9|~|~|~|~|X(d) Gonadal carcinomas|19929602|2008
<1|~|~|~|~|X(d) Gonadal carcinomas|4132735|2008
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|16138392|2008
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20706655|2008
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|22210880|2008
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19929602|2008
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|4132735|2008
1-4|1.4|2.9|2.0|33|XI Other malignant epithelial neoplasms and malignant melanomas|16138392|2008
10-14|13.0|16.3|14.6|302|XI Other malignant epithelial neoplasms and malignant melanomas|20706655|2008
15-19|47.5|53.5|50.4|1120|XI Other malignant epithelial neoplasms and malignant melanomas|22210880|2008
5-9|3.1|4.9|4.0|79|XI Other malignant epithelial neoplasms and malignant melanomas|19929602|2008
<1|5.3|10.9|7.7|32|XI Other malignant epithelial neoplasms and malignant melanomas|4132735|2008
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|16138392|2008
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20706655|2008
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|22210880|2008
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19929602|2008
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|4132735|2008
1-4|~|~|~|~|XI(b) Thyroid carcinomas|16138392|2008
10-14|5.0|7.2|6.0|125|XI(b) Thyroid carcinomas|20706655|2008
15-19|22.3|26.4|24.3|539|XI(b) Thyroid carcinomas|22210880|2008
5-9|0.9|1.9|1.3|26|XI(b) Thyroid carcinomas|19929602|2008
<1|~|~|~|~|XI(b) Thyroid carcinomas|4132735|2008
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|16138392|2008
10-14|0.5|1.3|0.8|17|XI(c) Nasopharyngeal carcinomas|20706655|2008
15-19|0.9|1.9|1.3|29|XI(c) Nasopharyngeal carcinomas|22210880|2008
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19929602|2008
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|4132735|2008
1-4|~|~|~|~|XI(d) Malignant melanomas|16138392|2008
10-14|3.0|4.7|3.8|78|XI(d) Malignant melanomas|20706655|2008
15-19|11.2|14.2|12.7|281|XI(d) Malignant melanomas|22210880|2008
5-9|0.9|2.0|1.4|28|XI(d) Malignant melanomas|19929602|2008
<1|3.0|7.5|4.8|20|XI(d) Malignant melanomas|4132735|2008
1-4|~|~|~|~|XI(e) Skin carcinomas|16138392|2008
10-14|~|~|~|~|XI(e) Skin carcinomas|20706655|2008
15-19|~|~|~|~|XI(e) Skin carcinomas|22210880|2008
5-9|~|~|~|~|XI(e) Skin carcinomas|19929602|2008
<1|~|~|~|~|XI(e) Skin carcinomas|4132735|2008
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|16138392|2008
10-14|3.0|4.8|3.8|79|XI(f) Other and unspecified carcinomas|20706655|2008
15-19|10.5|13.5|11.9|265|XI(f) Other and unspecified carcinomas|22210880|2008
5-9|0.7|1.6|1.1|21|XI(f) Other and unspecified carcinomas|19929602|2008
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|4132735|2008
1-4|0.6|1.6|1.0|16|XII Other and unspecified malignant neoplasms|16138392|2008
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20706655|2008
15-19|0.7|1.6|1.1|24|XII Other and unspecified malignant neoplasms|22210880|2008
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19929602|2008
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|4132735|2008
1-4|~|~|~|~|XII(a) Other specified malignant tumors|16138392|2008
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20706655|2008
15-19|~|~|~|~|XII(a) Other specified malignant tumors|22210880|2008
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19929602|2008
<1|~|~|~|~|XII(a) Other specified malignant tumors|4132735|2008
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|16138392|2008
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20706655|2008
15-19|0.4|1.2|0.7|16|XII(b) Other unspecified malignant tumors|22210880|2008
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19929602|2008
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|4132735|2008
1-4|213.9|228.5|221.1|3591|All ICCC Groups Combined|16240931|2009
10-14|131.0|141.1|136.0|2810|All ICCC Groups Combined|20660564|2009
15-19|215.2|227.7|221.4|4913|All ICCC Groups Combined|22192810|2009
5-9|120.5|130.3|125.3|2529|All ICCC Groups Combined|20182499|2009
<1|250.3|282.5|266.0|1065|All ICCC Groups Combined|4003587|2009
1-4|89.2|98.7|93.8|1524|I Leukemias, myeloproliferative & myelodysplastic diseases|16240931|2009
10-14|29.1|34.0|31.5|651|I Leukemias, myeloproliferative & myelodysplastic diseases|20660564|2009
15-19|29.4|34.2|31.7|704|I Leukemias, myeloproliferative & myelodysplastic diseases|22192810|2009
5-9|39.7|45.4|42.5|857|I Leukemias, myeloproliferative & myelodysplastic diseases|20182499|2009
<1|41.2|55.0|47.7|191|I Leukemias, myeloproliferative & myelodysplastic diseases|4003587|2009
1-4|74.1|82.7|78.3|1272|I(a) Lymphoid leukemias|16240931|2009
10-14|19.8|23.8|21.7|449|I(a) Lymphoid leukemias|20660564|2009
15-19|14.3|17.7|15.9|353|I(a) Lymphoid leukemias|22192810|2009
5-9|33.1|38.4|35.7|720|I(a) Lymphoid leukemias|20182499|2009
<1|15.4|24.3|19.5|78|I(a) Lymphoid leukemias|4003587|2009
1-4|9.0|12.2|10.5|171|I(b) Acute myeloid leukemias|16240931|2009
10-14|5.4|7.6|6.4|133|I(b) Acute myeloid leukemias|20660564|2009
15-19|7.5|10.0|8.7|193|I(b) Acute myeloid leukemias|22192810|2009
5-9|3.2|5.0|4.1|82|I(b) Acute myeloid leukemias|20182499|2009
<1|11.4|19.3|15.0|60|I(b) Acute myeloid leukemias|4003587|2009
1-4|0.6|1.7|1.0|17|I(c) Chronic myeloproliferative diseases|16240931|2009
10-14|1.4|2.7|2.0|41|I(c) Chronic myeloproliferative diseases|20660564|2009
15-19|3.6|5.4|4.5|99|I(c) Chronic myeloproliferative diseases|22192810|2009
5-9|0.5|1.4|0.9|18|I(c) Chronic myeloproliferative diseases|20182499|2009
<1|2.9|7.4|4.7|19|I(c) Chronic myeloproliferative diseases|4003587|2009
1-4|1.7|3.2|2.3|38|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|16240931|2009
10-14|0.6|1.4|0.9|19|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20660564|2009
15-19|1.0|2.0|1.4|32|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|22192810|2009
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20182499|2009
<1|3.6|8.6|5.7|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|4003587|2009
1-4|1.0|2.3|1.6|26|I(e) Unspecified and other specified leukemias|16240931|2009
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|20660564|2009
15-19|0.8|1.8|1.2|27|I(e) Unspecified and other specified leukemias|22192810|2009
5-9|0.8|1.8|1.2|24|I(e) Unspecified and other specified leukemias|20182499|2009
