AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
<1|3.7|4.9|4.3|177|Incidence|4147997|Brain and Other Nervous System|2007
1-4|~|~|~|~|Incidence|7813088|Cervix|2007
10-14|~|~|~|~|Incidence|10170082|Cervix|2007
15-19|0.1|0.3|0.2|21|Incidence|10731326|Cervix|2007
5-9|~|~|~|~|Incidence|9640683|Cervix|2007
<1|~|~|~|~|Incidence|2027181|Cervix|2007
1-4|~|~|~|~|Incidence|15977965|Colon and Rectum|2007
10-14|0.0|0.1|0.1|16|Incidence|20841042|Colon and Rectum|2007
15-19|0.2|0.4|0.3|63|Incidence|22067816|Colon and Rectum|2007
5-9|~|~|~|~|Incidence|19714611|Colon and Rectum|2007
<1|~|~|~|~|Incidence|4147997|Colon and Rectum|2007
1-4|~|~|~|~|Incidence|7813088|Corpus and Uterus, NOS|2007
10-14|~|~|~|~|Incidence|10170082|Corpus and Uterus, NOS|2007
15-19|~|~|~|~|Incidence|10731326|Corpus and Uterus, NOS|2007
5-9|~|~|~|~|Incidence|9640683|Corpus and Uterus, NOS|2007
<1|~|~|~|~|Incidence|2027181|Corpus and Uterus, NOS|2007
1-4|~|~|~|~|Incidence|15977965|Esophagus|2007
10-14|~|~|~|~|Incidence|20841042|Esophagus|2007
15-19|~|~|~|~|Incidence|22067816|Esophagus|2007
5-9|~|~|~|~|Incidence|19714611|Esophagus|2007
<1|~|~|~|~|Incidence|4147997|Esophagus|2007
1-4|~|~|~|~|Incidence|7813088|Female Breast|2007
10-14|~|~|~|~|Incidence|10170082|Female Breast|2007
15-19|0.1|0.3|0.2|21|Incidence|10731326|Female Breast|2007
5-9|~|~|~|~|Incidence|9640683|Female Breast|2007
<1|~|~|~|~|Incidence|2027181|Female Breast|2007
1-4|~|~|~|~|Incidence|7813088|Female Breast, <i>in situ</i>|2007
10-14|~|~|~|~|Incidence|10170082|Female Breast, <i>in situ</i>|2007
15-19|~|~|~|~|Incidence|10731326|Female Breast, <i>in situ</i>|2007
5-9|~|~|~|~|Incidence|9640683|Female Breast, <i>in situ</i>|2007
<1|~|~|~|~|Incidence|2027181|Female Breast, <i>in situ</i>|2007
1-4|~|~|~|~|Incidence|15977965|Hodgkin Lymphoma|2007
10-14|1.1|1.4|1.2|249|Incidence|20841042|Hodgkin Lymphoma|2007
15-19|3.0|3.4|3.2|704|Incidence|22067816|Hodgkin Lymphoma|2007
5-9|0.3|0.4|0.3|69|Incidence|19714611|Hodgkin Lymphoma|2007
<1|~|~|~|~|Incidence|4147997|Hodgkin Lymphoma|2007
1-4|~|~|~|~|Incidence|15977965|Kaposi Sarcoma|2007
10-14|~|~|~|~|Incidence|20841042|Kaposi Sarcoma|2007
15-19|~|~|~|~|Incidence|22067816|Kaposi Sarcoma|2007
5-9|~|~|~|~|Incidence|19714611|Kaposi Sarcoma|2007
<1|~|~|~|~|Incidence|4147997|Kaposi Sarcoma|2007
1-4|1.8|2.2|2.0|314|Incidence|15977965|Kidney and Renal Pelvis|2007
10-14|0.1|0.2|0.2|33|Incidence|20841042|Kidney and Renal Pelvis|2007
15-19|0.1|0.3|0.2|43|Incidence|22067816|Kidney and Renal Pelvis|2007
5-9|0.5|0.7|0.6|123|Incidence|19714611|Kidney and Renal Pelvis|2007
<1|1.4|2.2|1.8|73|Incidence|4147997|Kidney and Renal Pelvis|2007
1-4|~|~|~|~|Incidence|15977965|Larynx|2007
10-14|~|~|~|~|Incidence|20841042|Larynx|2007
15-19|~|~|~|~|Incidence|22067816|Larynx|2007
5-9|~|~|~|~|Incidence|19714611|Larynx|2007
<1|~|~|~|~|Incidence|4147997|Larynx|2007
1-4|8.8|9.8|9.3|1486|Incidence|15977965|Leukemias|2007
10-14|2.7|3.1|2.9|602|Incidence|20841042|Leukemias|2007
15-19|2.7|3.2|2.9|651|Incidence|22067816|Leukemias|2007
5-9|3.8|4.3|4.0|797|Incidence|19714611|Leukemias|2007
<1|3.7|5.0|4.3|180|Incidence|4147997|Leukemias|2007
1-4|0.5|0.7|0.6|92|Incidence|15977965|Liver and Intrahepatic Bile Duct|2007
10-14|0.0|0.1|0.1|17|Incidence|20841042|Liver and Intrahepatic Bile Duct|2007
15-19|0.1|0.2|0.2|39|Incidence|22067816|Liver and Intrahepatic Bile Duct|2007
5-9|0.1|0.2|0.1|21|Incidence|19714611|Liver and Intrahepatic Bile Duct|2007
<1|0.9|1.5|1.2|48|Incidence|4147997|Liver and Intrahepatic Bile Duct|2007
1-4|~|~|~|~|Incidence|15977965|Lung and Bronchus|2007
10-14|0.0|0.1|0.1|17|Incidence|20841042|Lung and Bronchus|2007
15-19|0.1|0.2|0.1|27|Incidence|22067816|Lung and Bronchus|2007
5-9|~|~|~|~|Incidence|19714611|Lung and Bronchus|2007
<1|~|~|~|~|Incidence|4147997|Lung and Bronchus|2007
1-4|~|~|~|~|Incidence|7813088|Male and Female Breast|2007
10-14|~|~|~|~|Incidence|10170082|Male and Female Breast|2007
15-19|0.1|0.3|0.2|21|Incidence|10731326|Male and Female Breast|2007
5-9|~|~|~|~|Incidence|9640683|Male and Female Breast|2007
<1|~|~|~|~|Incidence|2027181|Male and Female Breast|2007
1-4|~|~|~|~|Incidence|7813088|Male and Female Breast, <i>in situ</i>|2007
10-14|~|~|~|~|Incidence|10170082|Male and Female Breast, <i>in situ</i>|2007
15-19|~|~|~|~|Incidence|10731326|Male and Female Breast, <i>in situ</i>|2007
5-9|~|~|~|~|Incidence|9640683|Male and Female Breast, <i>in situ</i>|2007
<1|~|~|~|~|Incidence|2027181|Male and Female Breast, <i>in situ</i>|2007
1-4|~|~|~|~|Incidence|15977965|Melanomas of the Skin|2007
10-14|0.2|0.4|0.3|66|Incidence|20841042|Melanomas of the Skin|2007
15-19|1.3|1.6|1.5|321|Incidence|22067816|Melanomas of the Skin|2007
5-9|0.1|0.2|0.2|32|Incidence|19714611|Melanomas of the Skin|2007
<1|~|~|~|~|Incidence|4147997|Melanomas of the Skin|2007
1-4|~|~|~|~|Incidence|15977965|Mesothelioma|2007
10-14|~|~|~|~|Incidence|20841042|Mesothelioma|2007
15-19|~|~|~|~|Incidence|22067816|Mesothelioma|2007
5-9|~|~|~|~|Incidence|19714611|Mesothelioma|2007
<1|~|~|~|~|Incidence|4147997|Mesothelioma|2007
1-4|~|~|~|~|Incidence|15977965|Myeloma|2007
10-14|~|~|~|~|Incidence|20841042|Myeloma|2007
15-19|~|~|~|~|Incidence|22067816|Myeloma|2007
5-9|~|~|~|~|Incidence|19714611|Myeloma|2007
<1|~|~|~|~|Incidence|4147997|Myeloma|2007
1-4|0.5|0.7|0.6|93|Incidence|15977965|Non-Hodgkin Lymphoma|2007
10-14|1.2|1.5|1.3|279|Incidence|20841042|Non-Hodgkin Lymphoma|2007
15-19|1.5|1.9|1.7|379|Incidence|22067816|Non-Hodgkin Lymphoma|2007
5-9|0.9|1.2|1.1|210|Incidence|19714611|Non-Hodgkin Lymphoma|2007
<1|0.2|0.6|0.4|16|Incidence|4147997|Non-Hodgkin Lymphoma|2007
1-4|~|~|~|~|Incidence|15977965|Oral Cavity and Pharynx|2007
10-14|0.2|0.3|0.2|47|Incidence|20841042|Oral Cavity and Pharynx|2007
15-19|0.4|0.6|0.5|103|Incidence|22067816|Oral Cavity and Pharynx|2007
5-9|0.1|0.2|0.1|22|Incidence|19714611|Oral Cavity and Pharynx|2007
<1|~|~|~|~|Incidence|4147997|Oral Cavity and Pharynx|2007
1-4|~|~|~|~|Incidence|7813088|Ovary|2007
10-14|0.6|0.9|0.7|72|Incidence|10170082|Ovary|2007
15-19|1.0|1.4|1.2|128|Incidence|10731326|Ovary|2007
5-9|0.2|0.4|0.3|29|Incidence|9640683|Ovary|2007
<1|~|~|~|~|Incidence|2027181|Ovary|2007
1-4|~|~|~|~|Incidence|15977965|Pancreas|2007
10-14|~|~|~|~|Incidence|20841042|Pancreas|2007
15-19|~|~|~|~|Incidence|22067816|Pancreas|2007
5-9|~|~|~|~|Incidence|19714611|Pancreas|2007
<1|~|~|~|~|Incidence|4147997|Pancreas|2007
1-4|~|~|~|~|Incidence|8164877|Prostate|2007
10-14|~|~|~|~|Incidence|10670960|Prostate|2007
15-19|~|~|~|~|Incidence|11336490|Prostate|2007
5-9|~|~|~|~|Incidence|10073928|Prostate|2007
<1|~|~|~|~|Incidence|2120816|Prostate|2007
1-4|~|~|~|~|Incidence|15977965|Stomach|2007
10-14|~|~|~|~|Incidence|20841042|Stomach|2007
15-19|~|~|~|~|Incidence|22067816|Stomach|2007
5-9|~|~|~|~|Incidence|19714611|Stomach|2007
<1|~|~|~|~|Incidence|4147997|Stomach|2007
1-4|0.2|0.5|0.3|28|Incidence|8164877|Testis|2007
10-14|0.2|0.4|0.3|33|Incidence|10670960|Testis|2007
15-19|3.3|4.0|3.6|412|Incidence|11336490|Testis|2007
5-9|~|~|~|~|Incidence|10073928|Testis|2007
<1|0.6|1.5|1.0|21|Incidence|2120816|Testis|2007
1-4|~|~|~|~|Incidence|15977965|Thyroid|2007
10-14|0.5|0.7|0.6|116|Incidence|20841042|Thyroid|2007
15-19|2.0|2.4|2.2|495|Incidence|22067816|Thyroid|2007
5-9|0.1|0.1|0.1|18|Incidence|19714611|Thyroid|2007
<1|~|~|~|~|Incidence|4147997|Thyroid|2007
1-4|~|~|~|~|Incidence|15977965|Urinary Bladder|2007
10-14|~|~|~|~|Incidence|20841042|Urinary Bladder|2007
15-19|0.0|0.1|0.1|17|Incidence|22067816|Urinary Bladder|2007
5-9|~|~|~|~|Incidence|19714611|Urinary Bladder|2007
<1|~|~|~|~|Incidence|4147997|Urinary Bladder|2007
1-4|2.1|2.5|2.3|364|Mortality|15977965|All Cancer Sites Combined|2007
10-14|2.1|2.5|2.3|479|Mortality|20841042|All Cancer Sites Combined|2007
15-19|2.8|3.3|3.0|673|Mortality|22067816|All Cancer Sites Combined|2007
5-9|2.2|2.7|2.4|480|Mortality|19714611|All Cancer Sites Combined|2007
<1|1.4|2.2|1.7|72|Mortality|4147997|All Cancer Sites Combined|2007
1-4|0.6|0.8|0.7|109|Mortality|15977965|Brain and Other Nervous System|2007
10-14|0.5|0.7|0.6|130|Mortality|20841042|Brain and Other Nervous System|2007
15-19|0.3|0.5|0.4|95|Mortality|22067816|Brain and Other Nervous System|2007
5-9|0.7|1.0|0.9|172|Mortality|19714611|Brain and Other Nervous System|2007
<1|~|~|~|~|Mortality|4147997|Brain and Other Nervous System|2007
1-4|~|~|~|~|Mortality|7813088|Cervix|2007
10-14|~|~|~|~|Mortality|10170082|Cervix|2007
15-19|~|~|~|~|Mortality|10731326|Cervix|2007
5-9|~|~|~|~|Mortality|9640683|Cervix|2007
<1|~|~|~|~|Mortality|2027181|Cervix|2007
1-4|~|~|~|~|Mortality|15977965|Colon and Rectum|2007
10-14|~|~|~|~|Mortality|20841042|Colon and Rectum|2007
15-19|~|~|~|~|Mortality|22067816|Colon and Rectum|2007
5-9|~|~|~|~|Mortality|19714611|Colon and Rectum|2007
<1|~|~|~|~|Mortality|4147997|Colon and Rectum|2007
1-4|~|~|~|~|Mortality|7813088|Corpus and Uterus, NOS|2007
10-14|~|~|~|~|Mortality|10170082|Corpus and Uterus, NOS|2007
15-19|~|~|~|~|Mortality|10731326|Corpus and Uterus, NOS|2007
5-9|~|~|~|~|Mortality|9640683|Corpus and Uterus, NOS|2007
<1|~|~|~|~|Mortality|2027181|Corpus and Uterus, NOS|2007
1-4|~|~|~|~|Mortality|15977965|Esophagus|2007
10-14|~|~|~|~|Mortality|20841042|Esophagus|2007
15-19|~|~|~|~|Mortality|22067816|Esophagus|2007
5-9|~|~|~|~|Mortality|19714611|Esophagus|2007
<1|~|~|~|~|Mortality|4147997|Esophagus|2007
1-4|~|~|~|~|Mortality|7813088|Female Breast|2007
10-14|~|~|~|~|Mortality|10170082|Female Breast|2007
15-19|~|~|~|~|Mortality|10731326|Female Breast|2007
5-9|~|~|~|~|Mortality|9640683|Female Breast|2007
<1|~|~|~|~|Mortality|2027181|Female Breast|2007
1-4|~|~|~|~|Mortality|15977965|Hodgkin Lymphoma|2007
10-14|~|~|~|~|Mortality|20841042|Hodgkin Lymphoma|2007
15-19|0.0|0.1|0.1|16|Mortality|22067816|Hodgkin Lymphoma|2007
5-9|~|~|~|~|Mortality|19714611|Hodgkin Lymphoma|2007
<1|~|~|~|~|Mortality|4147997|Hodgkin Lymphoma|2007
1-4|.|.|.|.|Mortality|15977965|Kaposi Sarcoma|2007
10-14|.|.|.|.|Mortality|20841042|Kaposi Sarcoma|2007
15-19|.|.|.|.|Mortality|22067816|Kaposi Sarcoma|2007
5-9|.|.|.|.|Mortality|19714611|Kaposi Sarcoma|2007
<1|.|.|.|.|Mortality|4147997|Kaposi Sarcoma|2007
1-4|~|~|~|~|Mortality|15977965|Kidney and Renal Pelvis|2007
10-14|~|~|~|~|Mortality|20841042|Kidney and Renal Pelvis|2007
15-19|~|~|~|~|Mortality|22067816|Kidney and Renal Pelvis|2007
5-9|0.1|0.1|0.1|17|Mortality|19714611|Kidney and Renal Pelvis|2007
<1|~|~|~|~|Mortality|4147997|Kidney and Renal Pelvis|2007
1-4|~|~|~|~|Mortality|15977965|Larynx|2007
10-14|~|~|~|~|Mortality|20841042|Larynx|2007
15-19|~|~|~|~|Mortality|22067816|Larynx|2007
5-9|~|~|~|~|Mortality|19714611|Larynx|2007
<1|~|~|~|~|Mortality|4147997|Larynx|2007
1-4|0.5|0.8|0.7|106|Mortality|15977965|Leukemias|2007
10-14|0.7|1.0|0.8|175|Mortality|20841042|Leukemias|2007
15-19|0.8|1.1|0.9|202|Mortality|22067816|Leukemias|2007
5-9|0.6|0.8|0.7|139|Mortality|19714611|Leukemias|2007
<1|0.3|0.8|0.5|21|Mortality|4147997|Leukemias|2007
1-4|0.1|0.2|0.1|19|Mortality|15977965|Liver and Intrahepatic Bile Duct|2007
10-14|~|~|~|~|Mortality|20841042|Liver and Intrahepatic Bile Duct|2007
15-19|~|~|~|~|Mortality|22067816|Liver and Intrahepatic Bile Duct|2007
5-9|~|~|~|~|Mortality|19714611|Liver and Intrahepatic Bile Duct|2007
<1|~|~|~|~|Mortality|4147997|Liver and Intrahepatic Bile Duct|2007
1-4|~|~|~|~|Mortality|15977965|Lung and Bronchus|2007
10-14|~|~|~|~|Mortality|20841042|Lung and Bronchus|2007
15-19|~|~|~|~|Mortality|22067816|Lung and Bronchus|2007
5-9|~|~|~|~|Mortality|19714611|Lung and Bronchus|2007
<1|~|~|~|~|Mortality|4147997|Lung and Bronchus|2007
1-4|~|~|~|~|Mortality|7813088|Male and Female Breast|2007
10-14|~|~|~|~|Mortality|10170082|Male and Female Breast|2007
15-19|~|~|~|~|Mortality|10731326|Male and Female Breast|2007
5-9|~|~|~|~|Mortality|9640683|Male and Female Breast|2007
<1|~|~|~|~|Mortality|2027181|Male and Female Breast|2007
1-4|~|~|~|~|Mortality|15977965|Melanomas of the Skin|2007
10-14|~|~|~|~|Mortality|20841042|Melanomas of the Skin|2007
15-19|~|~|~|~|Mortality|22067816|Melanomas of the Skin|2007
5-9|~|~|~|~|Mortality|19714611|Melanomas of the Skin|2007
<1|~|~|~|~|Mortality|4147997|Melanomas of the Skin|2007
1-4|~|~|~|~|Mortality|15977965|Mesothelioma|2007
10-14|~|~|~|~|Mortality|20841042|Mesothelioma|2007
15-19|~|~|~|~|Mortality|22067816|Mesothelioma|2007
5-9|~|~|~|~|Mortality|19714611|Mesothelioma|2007
<1|~|~|~|~|Mortality|4147997|Mesothelioma|2007
1-4|~|~|~|~|Mortality|15977965|Myeloma|2007
10-14|~|~|~|~|Mortality|20841042|Myeloma|2007
15-19|~|~|~|~|Mortality|22067816|Myeloma|2007
5-9|~|~|~|~|Mortality|19714611|Myeloma|2007
<1|~|~|~|~|Mortality|4147997|Myeloma|2007
1-4|~|~|~|~|Mortality|15977965|Non-Hodgkin Lymphoma|2007
10-14|0.1|0.1|0.1|20|Mortality|20841042|Non-Hodgkin Lymphoma|2007
15-19|0.2|0.3|0.2|47|Mortality|22067816|Non-Hodgkin Lymphoma|2007
5-9|~|~|~|~|Mortality|19714611|Non-Hodgkin Lymphoma|2007
<1|~|~|~|~|Mortality|4147997|Non-Hodgkin Lymphoma|2007
1-4|~|~|~|~|Mortality|15977965|Oral Cavity and Pharynx|2007
10-14|~|~|~|~|Mortality|20841042|Oral Cavity and Pharynx|2007
15-19|~|~|~|~|Mortality|22067816|Oral Cavity and Pharynx|2007
5-9|~|~|~|~|Mortality|19714611|Oral Cavity and Pharynx|2007
<1|~|~|~|~|Mortality|4147997|Oral Cavity and Pharynx|2007
1-4|~|~|~|~|Mortality|7813088|Ovary|2007
10-14|~|~|~|~|Mortality|10170082|Ovary|2007
15-19|~|~|~|~|Mortality|10731326|Ovary|2007
5-9|~|~|~|~|Mortality|9640683|Ovary|2007
<1|~|~|~|~|Mortality|2027181|Ovary|2007
1-4|~|~|~|~|Mortality|15977965|Pancreas|2007
10-14|~|~|~|~|Mortality|20841042|Pancreas|2007
15-19|~|~|~|~|Mortality|22067816|Pancreas|2007
5-9|~|~|~|~|Mortality|19714611|Pancreas|2007
<1|~|~|~|~|Mortality|4147997|Pancreas|2007
1-4|~|~|~|~|Mortality|8164877|Prostate|2007
10-14|~|~|~|~|Mortality|10670960|Prostate|2007
15-19|~|~|~|~|Mortality|11336490|Prostate|2007
5-9|~|~|~|~|Mortality|10073928|Prostate|2007
<1|~|~|~|~|Mortality|2120816|Prostate|2007
1-4|~|~|~|~|Mortality|15977965|Stomach|2007
10-14|~|~|~|~|Mortality|20841042|Stomach|2007
15-19|~|~|~|~|Mortality|22067816|Stomach|2007
5-9|~|~|~|~|Mortality|19714611|Stomach|2007
<1|~|~|~|~|Mortality|4147997|Stomach|2007
1-4|~|~|~|~|Mortality|8164877|Testis|2007
10-14|~|~|~|~|Mortality|10670960|Testis|2007
15-19|~|~|~|~|Mortality|11336490|Testis|2007
5-9|~|~|~|~|Mortality|10073928|Testis|2007
<1|~|~|~|~|Mortality|2120816|Testis|2007
1-4|~|~|~|~|Mortality|15977965|Thyroid|2007
10-14|~|~|~|~|Mortality|20841042|Thyroid|2007
15-19|~|~|~|~|Mortality|22067816|Thyroid|2007
5-9|~|~|~|~|Mortality|19714611|Thyroid|2007
<1|~|~|~|~|Mortality|4147997|Thyroid|2007
1-4|~|~|~|~|Mortality|15977965|Urinary Bladder|2007
10-14|~|~|~|~|Mortality|20841042|Urinary Bladder|2007
15-19|~|~|~|~|Mortality|22067816|Urinary Bladder|2007
5-9|~|~|~|~|Mortality|19714611|Urinary Bladder|2007
<1|~|~|~|~|Mortality|4147997|Urinary Bladder|2007
1-4|21.9|23.4|22.7|3656|Incidence|16138392|All Cancer Sites Combined|2008
10-14|12.9|13.9|13.3|2764|Incidence|20706655|All Cancer Sites Combined|2008
15-19|21.4|22.7|22.0|4896|Incidence|22210880|All Cancer Sites Combined|2008
5-9|12.3|13.3|12.8|2551|Incidence|19929602|All Cancer Sites Combined|2008
<1|25.5|28.7|27.1|1120|Incidence|4132735|All Cancer Sites Combined|2008
1-4|4.3|5.0|4.7|751|Incidence|16138392|Brain and Other Nervous System|2008
10-14|2.5|2.9|2.7|560|Incidence|20706655|Brain and Other Nervous System|2008
15-19|2.1|2.5|2.3|519|Incidence|22210880|Brain and Other Nervous System|2008
5-9|3.4|3.9|3.7|729|Incidence|19929602|Brain and Other Nervous System|2008
<1|3.5|4.8|4.1|169|Incidence|4132735|Brain and Other Nervous System|2008
1-4|~|~|~|~|Incidence|7891294|Cervix|2008
10-14|~|~|~|~|Incidence|10108474|Cervix|2008
15-19|0.1|0.3|0.2|22|Incidence|10805148|Cervix|2008
5-9|~|~|~|~|Incidence|9748488|Cervix|2008
<1|~|~|~|~|Incidence|2022889|Cervix|2008
1-4|~|~|~|~|Incidence|16138392|Colon and Rectum|2008
10-14|~|~|~|~|Incidence|20706655|Colon and Rectum|2008
15-19|0.2|0.4|0.3|65|Incidence|22210880|Colon and Rectum|2008
5-9|~|~|~|~|Incidence|19929602|Colon and Rectum|2008
<1|~|~|~|~|Incidence|4132735|Colon and Rectum|2008
1-4|~|~|~|~|Incidence|7891294|Corpus and Uterus, NOS|2008
10-14|~|~|~|~|Incidence|10108474|Corpus and Uterus, NOS|2008
15-19|~|~|~|~|Incidence|10805148|Corpus and Uterus, NOS|2008
5-9|~|~|~|~|Incidence|9748488|Corpus and Uterus, NOS|2008
<1|~|~|~|~|Incidence|2022889|Corpus and Uterus, NOS|2008
1-4|~|~|~|~|Incidence|16138392|Esophagus|2008
10-14|~|~|~|~|Incidence|20706655|Esophagus|2008
15-19|~|~|~|~|Incidence|22210880|Esophagus|2008
5-9|~|~|~|~|Incidence|19929602|Esophagus|2008
<1|~|~|~|~|Incidence|4132735|Esophagus|2008
1-4|~|~|~|~|Incidence|7891294|Female Breast|2008
10-14|~|~|~|~|Incidence|10108474|Female Breast|2008
15-19|0.1|0.2|0.1|16|Incidence|10805148|Female Breast|2008
5-9|~|~|~|~|Incidence|9748488|Female Breast|2008
<1|~|~|~|~|Incidence|2022889|Female Breast|2008
1-4|~|~|~|~|Incidence|7891294|Female Breast, <i>in situ</i>|2008
10-14|~|~|~|~|Incidence|10108474|Female Breast, <i>in situ</i>|2008
15-19|~|~|~|~|Incidence|10805148|Female Breast, <i>in situ</i>|2008
5-9|~|~|~|~|Incidence|9748488|Female Breast, <i>in situ</i>|2008
<1|~|~|~|~|Incidence|2022889|Female Breast, <i>in situ</i>|2008
1-4|~|~|~|~|Incidence|16138392|Hodgkin Lymphoma|2008
10-14|1.2|1.5|1.3|275|Incidence|20706655|Hodgkin Lymphoma|2008
15-19|3.0|3.5|3.3|722|Incidence|22210880|Hodgkin Lymphoma|2008
5-9|0.4|0.6|0.5|90|Incidence|19929602|Hodgkin Lymphoma|2008
<1|~|~|~|~|Incidence|4132735|Hodgkin Lymphoma|2008
1-4|~|~|~|~|Incidence|16138392|Kaposi Sarcoma|2008
10-14|~|~|~|~|Incidence|20706655|Kaposi Sarcoma|2008
15-19|~|~|~|~|Incidence|22210880|Kaposi Sarcoma|2008
5-9|~|~|~|~|Incidence|19929602|Kaposi Sarcoma|2008
<1|~|~|~|~|Incidence|4132735|Kaposi Sarcoma|2008
1-4|2.0|2.4|2.2|353|Incidence|16138392|Kidney and Renal Pelvis|2008
10-14|0.1|0.2|0.1|25|Incidence|20706655|Kidney and Renal Pelvis|2008
15-19|0.2|0.3|0.2|49|Incidence|22210880|Kidney and Renal Pelvis|2008
5-9|0.5|0.7|0.6|116|Incidence|19929602|Kidney and Renal Pelvis|2008
<1|1.5|2.4|1.9|78|Incidence|4132735|Kidney and Renal Pelvis|2008
1-4|~|~|~|~|Incidence|16138392|Larynx|2008
10-14|~|~|~|~|Incidence|20706655|Larynx|2008
15-19|~|~|~|~|Incidence|22210880|Larynx|2008
5-9|~|~|~|~|Incidence|19929602|Larynx|2008
<1|~|~|~|~|Incidence|4132735|Larynx|2008
1-4|8.8|9.7|9.2|1491|Incidence|16138392|Leukemias|2008
10-14|2.9|3.4|3.2|654|Incidence|20706655|Leukemias|2008
15-19|2.8|3.2|3.0|664|Incidence|22210880|Leukemias|2008
5-9|3.9|4.4|4.2|828|Incidence|19929602|Leukemias|2008
<1|3.9|5.3|4.6|189|Incidence|4132735|Leukemias|2008
1-4|0.5|0.7|0.6|91|Incidence|16138392|Liver and Intrahepatic Bile Duct|2008
10-14|0.1|0.1|0.1|18|Incidence|20706655|Liver and Intrahepatic Bile Duct|2008
15-19|0.1|0.2|0.1|30|Incidence|22210880|Liver and Intrahepatic Bile Duct|2008
5-9|0.1|0.2|0.1|20|Incidence|19929602|Liver and Intrahepatic Bile Duct|2008
<1|0.9|1.6|1.2|49|Incidence|4132735|Liver and Intrahepatic Bile Duct|2008
1-4|~|~|~|~|Incidence|16138392|Lung and Bronchus|2008
10-14|~|~|~|~|Incidence|20706655|Lung and Bronchus|2008
15-19|0.1|0.3|0.2|41|Incidence|22210880|Lung and Bronchus|2008
5-9|~|~|~|~|Incidence|19929602|Lung and Bronchus|2008
<1|~|~|~|~|Incidence|4132735|Lung and Bronchus|2008
1-4|~|~|~|~|Incidence|7891294|Male and Female Breast|2008
10-14|~|~|~|~|Incidence|10108474|Male and Female Breast|2008
15-19|0.1|0.2|0.1|16|Incidence|10805148|Male and Female Breast|2008
5-9|~|~|~|~|Incidence|9748488|Male and Female Breast|2008
<1|~|~|~|~|Incidence|2022889|Male and Female Breast|2008
1-4|~|~|~|~|Incidence|7891294|Male and Female Breast, <i>in situ</i>|2008
10-14|~|~|~|~|Incidence|10108474|Male and Female Breast, <i>in situ</i>|2008
15-19|~|~|~|~|Incidence|10805148|Male and Female Breast, <i>in situ</i>|2008
5-9|~|~|~|~|Incidence|9748488|Male and Female Breast, <i>in situ</i>|2008
<1|~|~|~|~|Incidence|2022889|Male and Female Breast, <i>in situ</i>|2008
1-4|~|~|~|~|Incidence|16138392|Melanomas of the Skin|2008
10-14|0.3|0.4|0.4|74|Incidence|20706655|Melanomas of the Skin|2008
15-19|1.1|1.4|1.2|276|Incidence|22210880|Melanomas of the Skin|2008
5-9|0.1|0.2|0.1|24|Incidence|19929602|Melanomas of the Skin|2008
<1|0.3|0.7|0.5|20|Incidence|4132735|Melanomas of the Skin|2008
1-4|~|~|~|~|Incidence|16138392|Mesothelioma|2008
10-14|~|~|~|~|Incidence|20706655|Mesothelioma|2008
15-19|~|~|~|~|Incidence|22210880|Mesothelioma|2008
5-9|~|~|~|~|Incidence|19929602|Mesothelioma|2008
<1|~|~|~|~|Incidence|4132735|Mesothelioma|2008
1-4|~|~|~|~|Incidence|16138392|Myeloma|2008
10-14|~|~|~|~|Incidence|20706655|Myeloma|2008
15-19|~|~|~|~|Incidence|22210880|Myeloma|2008
5-9|~|~|~|~|Incidence|19929602|Myeloma|2008
<1|~|~|~|~|Incidence|4132735|Myeloma|2008
1-4|0.6|0.8|0.7|113|Incidence|16138392|Non-Hodgkin Lymphoma|2008
10-14|1.0|1.3|1.2|243|Incidence|20706655|Non-Hodgkin Lymphoma|2008
15-19|1.6|1.9|1.7|386|Incidence|22210880|Non-Hodgkin Lymphoma|2008
5-9|0.9|1.2|1.0|209|Incidence|19929602|Non-Hodgkin Lymphoma|2008
<1|~|~|~|~|Incidence|4132735|Non-Hodgkin Lymphoma|2008
1-4|~|~|~|~|Incidence|16138392|Oral Cavity and Pharynx|2008
10-14|0.2|0.4|0.3|60|Incidence|20706655|Oral Cavity and Pharynx|2008
15-19|0.4|0.6|0.5|101|Incidence|22210880|Oral Cavity and Pharynx|2008
5-9|0.0|0.1|0.1|17|Incidence|19929602|Oral Cavity and Pharynx|2008
<1|~|~|~|~|Incidence|4132735|Oral Cavity and Pharynx|2008
1-4|~|~|~|~|Incidence|7891294|Ovary|2008
10-14|0.5|0.9|0.7|68|Incidence|10108474|Ovary|2008
15-19|1.0|1.4|1.2|125|Incidence|10805148|Ovary|2008
5-9|0.1|0.3|0.2|22|Incidence|9748488|Ovary|2008
<1|~|~|~|~|Incidence|2022889|Ovary|2008
1-4|~|~|~|~|Incidence|16138392|Pancreas|2008
10-14|~|~|~|~|Incidence|20706655|Pancreas|2008
15-19|~|~|~|~|Incidence|22210880|Pancreas|2008
5-9|~|~|~|~|Incidence|19929602|Pancreas|2008
<1|~|~|~|~|Incidence|4132735|Pancreas|2008
1-4|~|~|~|~|Incidence|8247098|Prostate|2008
10-14|~|~|~|~|Incidence|10598181|Prostate|2008
15-19|~|~|~|~|Incidence|11405732|Prostate|2008
5-9|~|~|~|~|Incidence|10181114|Prostate|2008
